Year,Date,Rotation,Treatment,Plot ID,Rep,LH per sweep
2010,6/23/2010,Forage,BM,W 111,1,0.8
2010,6/23/2010,Forage,BM,W 112,1,0.65
2010,6/23/2010,Forage,IM,W 113,1,0.74
2010,6/23/2010,Forage,IM,W 114,1,0.83
2010,6/23/2010,Grain,SH,W 261,1,1.14
2010,6/23/2010,Grain,SH,W 262,1,0.45
2010,6/23/2010,Grain,RH,W 263,1,0
2010,6/23/2010,Grain,RH,W 264,1,0
2010,6/23/2010,Forage,IM,W 321,1,0
2010,6/23/2010,Forage,IM,W 322,1,0.35
2010,6/23/2010,Forage,BM,W 323,1,0.9
2010,6/23/2010,Forage,BM,W 324,1,0.86
2010,6/23/2010,Grain,SH,W 631,1,0.61
2010,6/23/2010,Grain,SH,W 632,1,0.87
2010,6/23/2010,Grain,RH,W 633,1,0
2010,6/23/2010,Grain,RH,W 634,1,0
2010,6/23/2010,Grain,SH,E 161,1,0.61
2010,6/23/2010,Grain,SH,E 162,1,0.47
2010,6/23/2010,Grain,RH,E 163,1,0
2010,6/23/2010,Grain,RH,E 164,1,0
2010,6/23/2010,Forage,BM,W 551,1,0.65
2010,6/23/2010,Forage,BM,W 552,1,0.89
2010,6/23/2010,Forage,IM,W 553,1,0.8
2010,6/23/2010,Forage,IM,W 554,1,0.21
2010,6/23/2010,Forage,BM,E 351,1,0.43
2010,6/23/2010,Forage,BM,E 352,1,0.63
2010,6/23/2010,Forage,IM,E 353,1,0.43
2010,6/23/2010,Forage,IM,E 354,1,0
2010,6/23/2010,Grain,RH,E 561,1,0
2010,6/23/2010,Grain,RH,E 562,1,0
2010,6/23/2010,Grain,SH,E 563,1,0.97
2010,6/23/2010,Grain,SH,E 564,1,1.25
2010,7/6/2010,Forage,BM,W 111,1,0.24
2010,7/6/2010,Forage,BM,W 112,1,0.27
2010,7/6/2010,Forage,IM,W 113,1,0.1
2010,7/6/2010,Forage,IM,W 114,1,0.09
2010,7/6/2010,Grain,SH,W 261,1,0.04
2010,7/6/2010,Grain,SH,W 262,1,0.06
2010,7/6/2010,Grain,RH,W 263,1,0.06
2010,7/6/2010,Grain,RH,W 264,1,0.01
2010,7/6/2010,Forage,IM,W 321,1,0.1
2010,7/6/2010,Forage,IM,W 322,1,0.28
2010,7/6/2010,Forage,BM,W 323,1,0.3
2010,7/6/2010,Forage,BM,W 324,1,0.29
2010,7/6/2010,Grain,SH,W 631,1,0.17
2010,7/6/2010,Grain,SH,W 632,1,0.19
2010,7/6/2010,Grain,RH,W 633,1,0.08
2010,7/6/2010,Grain,RH,W 634,1,0.07
2010,7/6/2010,Grain,SH,E 161,1,0.26
2010,7/6/2010,Grain,SH,E 162,1,0.1
2010,7/6/2010,Grain,RH,E 163,1,0.03
2010,7/6/2010,Grain,RH,E 164,1,0.01
2010,7/6/2010,Forage,BM,W 551,1,0.12
2010,7/6/2010,Forage,BM,W 552,1,0.41
2010,7/6/2010,Forage,IM,W 553,1,0.18
2010,7/6/2010,Forage,IM,W 554,1,0.23
2010,7/6/2010,Forage,BM,E 351,1,0.2
2010,7/6/2010,Forage,BM,E 352,1,0.29
2010,7/6/2010,Forage,IM,E 353,1,0.08
2010,7/6/2010,Forage,IM,E 354,1,0.09
2010,7/6/2010,Grain,RH,E 561,1,0
2010,7/6/2010,Grain,RH,E 562,1,0.01
2010,7/6/2010,Grain,SH,E 563,1,0.09
2010,7/6/2010,Grain,SH,E 564,1,0.42
2010,7/15/2010,Forage,BM,W 111,1,0.02
2010,7/15/2010,Forage,BM,W 112,1,0
2010,7/15/2010,Forage,IM,W 113,1,0.01
2010,7/15/2010,Forage,IM,W 114,1,0.02
2010,7/15/2010,Grain,SH,W 261,1,0.05
2010,7/15/2010,Grain,SH,W 262,1,0.03
2010,7/15/2010,Grain,RH,W 263,1,0.04
2010,7/15/2010,Grain,RH,W 264,1,0.07
2010,7/15/2010,Forage,IM,W 321,1,0.04
2010,7/15/2010,Forage,IM,W 322,1,0.02
2010,7/15/2010,Forage,BM,W 323,1,0.01
2010,7/15/2010,Forage,BM,W 324,1,0.01
2010,7/15/2010,Grain,SH,W 631,1,0.02
2010,7/15/2010,Grain,SH,W 632,1,0.02
2010,7/15/2010,Grain,RH,W 633,1,0.03
2010,7/15/2010,Grain,RH,W 634,1,0.04
2010,7/15/2010,Grain,SH,E 161,1,0.02
2010,7/15/2010,Grain,SH,E 162,1,0.03
2010,7/15/2010,Grain,RH,E 163,1,0.02
2010,7/15/2010,Grain,RH,E 164,1,0.01
2010,7/15/2010,Forage,BM,W 551,1,0.01
2010,7/15/2010,Forage,BM,W 552,1,0.02
2010,7/15/2010,Forage,IM,W 553,1,0.02
2010,7/15/2010,Forage,IM,W 554,1,0.03
2010,7/15/2010,Forage,BM,E 351,1,0.01
2010,7/15/2010,Forage,BM,E 352,1,0.02
2010,7/15/2010,Forage,IM,E 353,1,0.01
2010,7/15/2010,Forage,IM,E 354,1,0.01
2010,7/15/2010,Grain,RH,E 561,1,0.01
2010,7/15/2010,Grain,RH,E 562,1,0
2010,7/15/2010,Grain,SH,E 563,1,0
2010,7/15/2010,Grain,SH,E 564,1,0
2010,7/26/2010,Forage,BM,W 111,1,0.18
2010,7/26/2010,Forage,BM,W 112,1,0.08
2010,7/26/2010,Forage,IM,W 113,1,0.11
2010,7/26/2010,Forage,IM,W 114,1,0.12
