Year,Date,Rotation,Treatment,Plot ID,Rep,LH per sweep
2014,6/6/2014,Pest,RH,W 251,1,0
2014,6/6/2014,Pest,RH,W 252,1,0.15
2014,6/6/2014,Pest,RH,W 611,1,0.05
2014,6/6/2014,Pest,RH,W 612,1,0.1
2014,6/6/2014,Pest,RH,E 244,1,0.05
2014,6/6/2014,Pest,RH,E 243,1,0
2014,6/6/2014,Pest,RH,E 464,1,0
2014,6/6/2014,Pest,RH,E 463,1,0.2
2014,6/6/2014,Pest,RH,W 273,1,0
2014,6/6/2014,Pest,RH,W 274,1,0
2014,6/6/2014,Pest,RH,W 532,1,0
2014,6/6/2014,Pest,RH,W 531,1,0
2014,6/6/2014,Pest,RH,E 133,1,0
2014,6/6/2014,Pest,RH,E 134,1,0
2014,6/6/2014,Pest,RH,E 453,1,0
2014,6/6/2014,Pest,RH,E 454,1,0
2014,6/6/2014,Pest,SH,W 253,1,0.25
2014,6/6/2014,Pest,SH,W 254,1,0.3
2014,6/6/2014,Pest,SH,W 613,1,0.1
2014,6/6/2014,Pest,SH,W 614,1,0.1
2014,6/6/2014,Pest,SH,E 242,1,0.2
2014,6/6/2014,Pest,SH,E 241,1,0.3
2014,6/6/2014,Pest,SH,E 462,1,0.25
2014,6/6/2014,Pest,SH,E 461,1,0.3
2014,6/6/2014,Pest,SH,W 271,1,0
2014,6/6/2014,Pest,SH,W 272,1,0
2014,6/6/2014,Pest,SH,W 534,1,0
2014,6/6/2014,Pest,SH,W 533,1,0
2014,6/6/2014,Pest,SH,E 131,1,0
2014,6/6/2014,Pest,SH,E 132,1,0
2014,6/6/2014,Pest,SH,E 451,1,0
2014,6/6/2014,Pest,SH,E 452,1,0
2014,6/20/2014,Pest,RH,W 251,1,1.4
2014,6/20/2014,Pest,RH,W 252,1,1.2
2014,6/20/2014,Pest,RH,W 611,1,0.6
2014,6/20/2014,Pest,RH,W 612,1,0.5
2014,6/20/2014,Pest,RH,E 244,1,1.15
2014,6/20/2014,Pest,RH,E 243,1,1.1
2014,6/20/2014,Pest,RH,E 464,1,0.7
2014,6/20/2014,Pest,RH,E 463,1,0.7
2014,6/20/2014,Pest,RH,W 273,1,0.7
2014,6/20/2014,Pest,RH,W 274,1,1.2
2014,6/20/2014,Pest,RH,W 532,1,0.85
2014,6/20/2014,Pest,RH,W 531,1,1
2014,6/20/2014,Pest,RH,E 133,1,0.8
2014,6/20/2014,Pest,RH,E 134,1,0.7
2014,6/20/2014,Pest,RH,E 453,1,1
2014,6/20/2014,Pest,RH,E 454,1,0.6
2014,6/20/2014,Pest,SH,W 253,1,1.85
2014,6/20/2014,Pest,SH,W 254,1,1.85
2014,6/20/2014,Pest,SH,W 613,1,1.5
2014,6/20/2014,Pest,SH,W 614,1,1.6
2014,6/20/2014,Pest,SH,E 242,1,2.3
2014,6/20/2014,Pest,SH,E 241,1,2.1
2014,6/20/2014,Pest,SH,E 462,1,0.95
2014,6/20/2014,Pest,SH,E 461,1,0.6
2014,6/20/2014,Pest,SH,W 271,1,1.25
2014,6/20/2014,Pest,SH,W 272,1,0.95
2014,6/20/2014,Pest,SH,W 534,1,1
2014,6/20/2014,Pest,SH,W 533,1,0.8
2014,6/20/2014,Pest,SH,E 131,1,1.6
2014,6/20/2014,Pest,SH,E 132,1,1.1
2014,6/20/2014,Pest,SH,E 451,1,1.7
2014,6/20/2014,Pest,SH,E 452,1,1.3
2014,7/3/2014,Pest,RH,W 251,1,0
2014,7/3/2014,Pest,RH,W 252,1,0
2014,7/3/2014,Pest,RH,W 611,1,0
2014,7/3/2014,Pest,RH,W 612,1,0
2014,7/3/2014,Pest,RH,E 244,1,0
2014,7/3/2014,Pest,RH,E 243,1,0
2014,7/3/2014,Pest,RH,E 464,1,0
2014,7/3/2014,Pest,RH,E 463,1,0
2014,7/3/2014,Pest,RH,W 273,1,0
