Year,Date,Management,Treatment,Crop,Average LH,Crude Protein,Crude Fat,RFV
2019,June,BAU/Weed,BAU,AOg2,0.58,18.70,4.37,111.00
2019,June,BAU/Weed,SH,AOg2,0.61,18.57,5.37,103.00
2019,June,BAU/Weed,RH,AOg2,0.39,N/A,N/A,N/A
2019,June,Manure,BM,AOg2,1.16,19.60,4.97,104.67
2019,June,Manure ,IM,AOg2,0.74,18.93,4.37,111.00
2019,August,BAU/Weed,BAU,AOg2,0.10,22.90,4.97,122.00
2019,August,BAU/Weed,SH,AOg2,0.05,22.07,5.27,117.00
2019,August,BAU/Weed,RH,AOg2,0.06,20.20,5.03,112.33
2019,August,Manure,BM,AOg2,0.12,21.23,4.97,116.67
2019,August,Manure ,IM,AOg2,0.10,22.00,4.93,117.67
