Year,Date,Treatment,Crop,Average LH
2021,6/10/2021,BM,AOg1,0.51875
2021,6/10/2021,BM,AOg2,N/A
2021,6/10/2021,IM,AOg1,0.425
2021,6/10/2021,IM,AOg2,N/A
2021,6/10/2021,BAU,AOg1,0.083333333
2021,6/10/2021,BAU,AOg2,0.075
2021,7/7/2021,BM,AOg1,0.128571429
2021,7/7/2021,BM,AOg2,0.178571429
2021,7/7/2021,IM,AOg1,0.175
2021,7/7/2021,IM,AOg2,0.178571429
2021,7/7/2021,BAU,AOg1,0.3
2021,7/7/2021,BAU,AOg2,0.125
2021,7/15/2021,BM,AOg1,0.332142857
2021,7/15/2021,BM,AOg2,0.321428571
2021,7/15/2021,IM,AOg1,0.303571429
2021,7/15/2021,IM,AOg2,0.271428571
2021,7/15/2021,BAU,AOg1,N/A
2021,7/15/2021,BAU,AOg2,N/A
