Year,Date,Management,Treatment,Average LH,Crude Protein,Crude Fat,RFV
2021,June,BAU/Weed,BAU,0.08,22.55,2.33,146.67
2021,June,Manure,BM,0.52,22.32,2.77,142.67
2021,June,Manure ,IM,0.43,22.61,2.50,142.09
2021,July,BAU/Weed,BAU,0.21,22.45,1.93,139.67
2021,July,Manure,BM,0.24,22.47,2.47,144.18
2021,July,Manure ,IM,0.23,23.49,2.77,150.91
2020,June,BAU/Weed,BAU,0.79,21.20,4.40,120.50
2020,June,Manure,BM,1.41,17.60,4.65,101.00
2020,June,Manure ,IM,1.29,19.30,3.95,103.50
2019,June,BAU/Weed,BAU,0.58,18.7,4.37,111
2019,June,Manure,BM,1.16,19.6,4.97,104.67
2019,June,Manure ,IM,0.74,18.93,4.37,111
2019,August,BAU/Weed,BAU,0.1,22.9,4.97,122
2019,August,Manure,BM,0.12,21.23,4.97,116.67
2019,August,Manure ,IM,0.1,22,4.93,117.67
2018,July,Pest,BAU,0.35,24.36,4.65,137.75
2018,July,Manure,BM,0.82,22.35,4.90,128.67
2018,July,Manure ,IM,0.66,23.48,5.02,130.40
