Year,Date,Rotation,Treatment,Block,Plot ID,LH per sweep
2019,6/12/2019,BAU/Weed,BAU,1,W 173,0.3
2019,6/12/2019,BAU/Weed,BAU,1,W 174,0.5
2019,6/12/2019,BAU/Weed,BAU,2,W 643,0.3
2019,6/12/2019,BAU/Weed,BAU,2,W 644,0.4
2019,6/12/2019,BAU/Weed,BAU,3,E263,0.5
2019,6/12/2019,BAU/Weed,BAU,3,E264,0.2
2019,6/12/2019,BAU/Weed,BAU,4,E553,0.3
2019,6/12/2019,BAU/Weed,BAU,4,E554,0.5
2019,6/12/2019,Manure,IM,1,W213,0.6
2019,6/12/2019,Manure,IM,1,W214,0.5
2019,6/12/2019,Manure,IM,2,W511,0.2
2019,6/12/2019,Manure,IM,2,W512,0.6
2019,6/12/2019,Manure,IM,3,W 563,0.5
2019,6/12/2019,Manure,IM,3,W 564,0.6
2019,6/12/2019,Manure,IM,4,E 323,0.2
2019,6/12/2019,Manure,IM,4,E 324,0.4
2019,6/19/2019,BAU/Weed,BAU,1,W 173,1.0
2019,6/19/2019,BAU/Weed,BAU,1,W 174,2.2
2019,6/19/2019,BAU/Weed,BAU,2,W 643,1.7
2019,6/19/2019,BAU/Weed,BAU,2,W 644,1.9
2019,6/19/2019,BAU/Weed,BAU,3,E263,0.0
2019,6/19/2019,BAU/Weed,BAU,3,E264,0.0
2019,6/19/2019,BAU/Weed,BAU,4,E553,0.0
2019,6/19/2019,BAU/Weed,BAU,4,E554,0.0
2019,6/19/2019,Manure,IM,1,W213,1.2
2019,6/19/2019,Manure,IM,1,W214,1.3
2019,6/19/2019,Manure,IM,2,W511,1.7
2019,6/19/2019,Manure,IM,2,W512,1.6
2019,6/19/2019,Manure,IM,3,W 563,1.2
2019,6/19/2019,Manure,IM,3,W 564,1.6
2019,6/19/2019,Manure,IM,4,E 323,0.0
2019,6/19/2019,Manure,IM,4,E 324,0.0
2019,7/17/2019,BAU/Weed,BAU,1,W 173,0.0
2019,7/17/2019,BAU/Weed,BAU,1,W 174,0.0
2019,7/17/2019,BAU/Weed,BAU,2,W 643,0.0
2019,7/17/2019,BAU/Weed,BAU,2,W 644,0.0
2019,7/17/2019,BAU/Weed,BAU,3,E263,0.0
2019,7/17/2019,BAU/Weed,BAU,3,E264,0.0
2019,7/17/2019,BAU/Weed,BAU,4,E553,0.0
2019,7/17/2019,BAU/Weed,BAU,4,E554,0.0
2019,7/17/2019,Manure,IM,1,W213,0.3
2019,7/17/2019,Manure,IM,1,W214,0.4
2019,7/17/2019,Manure,IM,2,W511,0.2
2019,7/17/2019,Manure,IM,2,W512,0.4
2019,7/17/2019,Manure,IM,3,W 563,0.2
2019,7/17/2019,Manure,IM,3,W 564,0.2
2019,7/17/2019,Manure,IM,4,E 323,0.1
2019,7/17/2019,Manure,IM,4,E 324,0.1
2019,7/24/2019,BAU/Weed,BAU,1,W 173,0.4
2019,7/24/2019,BAU/Weed,BAU,1,W 174,0.2
2019,7/24/2019,BAU/Weed,BAU,2,W 643,0.4
2019,7/24/2019,BAU/Weed,BAU,2,W 644,0.0
2019,7/24/2019,BAU/Weed,BAU,3,E263,0.3
2019,7/24/2019,BAU/Weed,BAU,3,E264,0.1
2019,7/24/2019,BAU/Weed,BAU,4,E553,0.2
2019,7/24/2019,BAU/Weed,BAU,4,E554,0.0
2019,7/24/2019,Manure,IM,1,W213,1.5
2019,7/24/2019,Manure,IM,1,W214,0.8
2019,7/24/2019,Manure,IM,2,W511,0.6
2019,7/24/2019,Manure,IM,2,W512,0.9
2019,7/24/2019,Manure,IM,3,W 563,1.2
2019,7/24/2019,Manure,IM,3,W 564,1.5
2019,7/24/2019,Manure,IM,4,E 323,0.8
2019,7/24/2019,Manure,IM,4,E 324,0.5
