Year,Month,Date,Management,Treatment,Average LH,Crude Protein,Crude Fat,RFV,Dry Weight
2014,June,14-Jun,Manure,BM,0.73,N/A,N/A,N/A,3.79
2014,July,14-Jul,Manure,BM,0.27,21.48,3.43,131.17,3.79
2014,August,14-Aug,Manure,BM,0.43,25.50,4.13,132.67,3.21
2015,June,15-Jun,Manure,BM,0.33,21.63,3.66,118.92,1.03
2015,July,15-Jul,Manure,BM,0.21,21.99,4.14,119.50,3.67
2015,August,15-Aug,Manure,BM,0.01,25.90,4.75,111.67,2.10
2016,June,16-Jun,Manure,BM,0.43,23.22,5.03,144.50,2.72
2017,June,17-Jun,Manure,BM,0.83,25.03,5.35,136.00,2.88
2017,July,17-Jul,Manure,BM,3.19,21.40,4.77,103.67,3.26
2017,August,17-Aug,Manure,BM,0.16,20.98,3.58,104.33,3.13
2018,July,18-Jul,Manure,BM,0.82,22.35,4.90,128.67,2.15
2019,June,19-Jun,Manure,BM,1.16,19.6,4.97,104.67,0.90
2019,August,19-Aug,Manure,BM,0.12,21.23,4.97,116.67,2.13
2020,June,20-Jun,Manure,BM,1.41,17.60,4.65,101.00,1.87
2021,June,21-Jun,Manure,BM,0.52,22.32,2.77,142.67,1.63
2021,July,21-Jul,Manure,BM,0.24,22.47,2.47,144.18,2.81
