Year,Month,Date,Management,Treatment,Average LH,Crude Protein,Crude Fat,RFV,Dry Weight,Accumulated Precipitation (in),Alfalfa GDD,Leafhopper GDD
2014,June,14-Jun,Manure ,IM,1.05,22.93,4.4,165.25,3.28,N/A,N/A,N/A
2014,July,14-Jul,Manure ,IM,0.49,21.95,3.58,135.5,3.68,N/A,N/A,N/A
2014,August,14-Aug,Manure ,IM,0.78,26.27,4.93,134,3.15,N/A,N/A,N/A
2015,June,15-Jun,Manure ,IM,0.33,21.96,3.73,118.92,1.27,N/A,N/A,N/A
2015,July,15-Jul,Manure ,IM,0.14,21.23,4.41,114.38,4.08,N/A,N/A,N/A
2017,June,17-Jun,Manure ,IM,0.55,23.44,5.4,125.22,3.3,4.41,955,484
2017,July,17-Jul,Manure ,IM,1.79,20.7,4.37,98,3.4,4.44,1779,957
2017,August,17-Aug,Manure ,IM,0.18,21.15,3.53,101.67,3.22,4.44,2725,1500
2019,June,19-Jun,Manure ,IM,0.74,18.93,4.37,111,0.95,11.83,646,575
2019,August,19-Aug,Manure ,IM,0.1,22,4.93,117.67,2.03,14.2,2705,1841
2021,June,21-Jun,Manure ,IM,0.43,22.61,2.5,142.09,1.7,14.21,1381,577
2021,July,21-Jul,Manure ,IM,0.23,23.49,2.77,150.91,2.55,18.22,2374,1180
