Year,Month,Date,Management,Treatment,Average LH,Crude Protein,Crude Fat,RFV,Dry Weight,Accumulated Precipitation,Alfalfa GDD,Leafhopper GDD
2016,June,16-Jun,Manure ,IM,0.3,23.4,5.17,151.83,2.36,6.85,947,432
2017,June,17-Jun,Manure ,IM,0.55,23.44,5.4,125.22,3.3,4.41,955,484
2017,July,17-Jul,Manure ,IM,1.79,20.7,4.37,98,3.4,4.44,1779,957
2017,August,17-Aug,Manure ,IM,0.18,21.15,3.53,101.67,3.22,4.44,2725,1500
2018,July,18-Jul,Manure ,IM,0.66,23.48,5.02,130.4,2.09,10.72,1524,1107
2019,June,19-Jun,Manure ,IM,0.74,18.93,4.37,111,0.95,11.83,646,575
2019,August,19-Aug,Manure ,IM,0.1,22,4.93,117.67,2.03,14.2,2705,1841
2020,June,20-Jun,Manure ,IM,1.29,19.3,3.95,103.5,2.03,17.34,906,496
2021,June,21-Jun,Manure ,IM,0.43,22.61,2.5,142.09,1.7,14.21,1381,577
2021,July,21-Jul,Manure ,IM,0.23,23.49,2.77,150.91,2.55,18.22,2374,1180
