Year,Date,Rotation,Treatment,Block,Plot ID,Rep,Leafhopper,LH split split aver. ,LH per sweep
2010,6/23/2010,Forage,BM,1,W 111,1,N/A,N/A,0.8
2010,6/23/2010,Forage,BM,1,W 112,1,N/A,N/A,0.65
2010,6/23/2010,Forage,IM,1,W 113,1,N/A,N/A,0.74
2010,6/23/2010,Forage,IM,1,W 114,1,N/A,N/A,0.83
2010,6/23/2010,Grain,SH,1,W 261,1,N/A,N/A,1.14
2010,6/23/2010,Grain,SH,1,W 262,1,N/A,N/A,0.45
2010,6/23/2010,Grain,RH,1,W 263,1,N/A,N/A,0
2010,6/23/2010,Grain,RH,1,W 264,1,N/A,N/A,0
2010,6/23/2010,Forage,IM,2,W 321,1,N/A,N/A,0
2010,6/23/2010,Forage,IM,2,W 322,1,N/A,N/A,0.35
2010,6/23/2010,Forage,BM,2,W 323,1,N/A,N/A,0.9
2010,6/23/2010,Forage,BM,2,W 324,1,N/A,N/A,0.86
2010,6/23/2010,Grain,SH,2,W 631,1,N/A,N/A,0.61
2010,6/23/2010,Grain,SH,2,W 632,1,N/A,N/A,0.87
2010,6/23/2010,Grain,RH,2,W 633,1,N/A,N/A,0
2010,6/23/2010,Grain,RH,2,W 634,1,N/A,N/A,0
2010,6/23/2010,Grain,SH,3,E 161,1,N/A,N/A,0.61
2010,6/23/2010,Grain,SH,3,E 162,1,N/A,N/A,0.47
2010,6/23/2010,Grain,RH,3,E 163,1,N/A,N/A,0
2010,6/23/2010,Grain,RH,3,E 164,1,N/A,N/A,0
2010,6/23/2010,Forage,BM,3,W 551,1,N/A,N/A,0.65
2010,6/23/2010,Forage,BM,3,W 552,1,N/A,N/A,0.89
2010,6/23/2010,Forage,IM,3,W 553,1,N/A,N/A,0.8
2010,6/23/2010,Forage,IM,3,W 554,1,N/A,N/A,0.21
2010,6/23/2010,Forage,BM,4,E 351,1,N/A,N/A,0.43
2010,6/23/2010,Forage,BM,4,E 352,1,N/A,N/A,0.63
2010,6/23/2010,Forage,IM,4,E 353,1,N/A,N/A,0.43
2010,6/23/2010,Forage,IM,4,E 354,1,N/A,N/A,0
2010,6/23/2010,Grain,RH,4,E 561,1,N/A,N/A,0
2010,6/23/2010,Grain,RH,4,E 562,1,N/A,N/A,0
2010,6/23/2010,Grain,SH,4,E 563,1,N/A,N/A,0.97
2010,6/23/2010,Grain,SH,4,E 564,1,N/A,N/A,1.25
2010,7/6/2010,Forage,BM,1,W 111,1,N/A,N/A,0.24
2010,7/6/2010,Forage,BM,1,W 112,1,N/A,N/A,0.27
2010,7/6/2010,Forage,IM,1,W 113,1,N/A,N/A,0.1
2010,7/6/2010,Forage,IM,1,W 114,1,N/A,N/A,0.09
2010,7/6/2010,Grain,SH,1,W 261,1,N/A,N/A,0.04
2010,7/6/2010,Grain,SH,1,W 262,1,N/A,N/A,0.06
2010,7/6/2010,Grain,RH,1,W 263,1,N/A,N/A,0.06
2010,7/6/2010,Grain,RH,1,W 264,1,N/A,N/A,0.01
2010,7/6/2010,Forage,IM,2,W 321,1,N/A,N/A,0.1
2010,7/6/2010,Forage,IM,2,W 322,1,N/A,N/A,0.28
2010,7/6/2010,Forage,BM,2,W 323,1,N/A,N/A,0.3
2010,7/6/2010,Forage,BM,2,W 324,1,N/A,N/A,0.29
2010,7/6/2010,Grain,SH,2,W 631,1,N/A,N/A,0.17
2010,7/6/2010,Grain,SH,2,W 632,1,N/A,N/A,0.19
2010,7/6/2010,Grain,RH,2,W 633,1,N/A,N/A,0.08
2010,7/6/2010,Grain,RH,2,W 634,1,N/A,N/A,0.07
2010,7/6/2010,Grain,SH,3,E 161,1,N/A,N/A,0.26
2010,7/6/2010,Grain,SH,3,E 162,1,N/A,N/A,0.1
2010,7/6/2010,Grain,RH,3,E 163,1,N/A,N/A,0.03
2010,7/6/2010,Grain,RH,3,E 164,1,N/A,N/A,0.01
2010,7/6/2010,Forage,BM,3,W 551,1,N/A,N/A,0.12
2010,7/6/2010,Forage,BM,3,W 552,1,N/A,N/A,0.41
2010,7/6/2010,Forage,IM,3,W 553,1,N/A,N/A,0.18
2010,7/6/2010,Forage,IM,3,W 554,1,N/A,N/A,0.23
2010,7/6/2010,Forage,BM,4,E 351,1,N/A,N/A,0.2
